using CUDA on GPU 0...	
loading data files...	
cutting off end of data so that the batches/sequences divide evenly	
reshaping tensor...	
data load done. Number of data batches in train: 423, val: 23, test: 0	
vocab size: 65	
creating an lstm with 2 layers	
Drawed the graph	
setting forget gate biases to 1 in LSTM layer 1	
setting forget gate biases to 1 in LSTM layer 2	
number of parameters in the model: 240321	
cloning rnn	
cloning criterion	
1/21150 (epoch 0.002), train_loss = 4.16541388, grad/param norm = 5.4285e-01, time/batch = 0.3735s	
63/21150 (epoch 0.149), train_loss = 3.20818737, grad/param norm = 3.7135e-01, time/batch = 0.0839s	
64/21150 (epoch 0.151), train_loss = 3.24132485, grad/param norm = 2.3595e-01, time/batch = 0.0844s	
65/21150 (epoch 0.154), train_loss = 3.21724945, grad/param norm = 2.7417e-01, time/batch = 0.0837s	
66/21150 (epoch 0.156), train_loss = 3.17520368, grad/param norm = 2.6494e-01, time/batch = 0.0870s	
67/21150 (epoch 0.158), train_loss = 3.20328451, grad/param norm = 2.6435e-01, time/batch = 0.0863s	
68/21150 (epoch 0.161), train_loss = 3.17761301, grad/param norm = 3.2823e-01, time/batch = 0.0940s	
69/21150 (epoch 0.163), train_loss = 3.19739267, grad/param norm = 3.8420e-01, time/batch = 0.0903s	
70/21150 (epoch 0.165), train_loss = 3.17443146, grad/param norm = 3.4800e-01, time/batch = 0.0912s	
71/21150 (epoch 0.168), train_loss = 3.17403546, grad/param norm = 3.3920e-01, time/batch = 0.0920s	
72/21150 (epoch 0.170), train_loss = 3.18010605, grad/param norm = 4.1516e-01, time/batch = 0.0906s	
73/21150 (epoch 0.173), train_loss = 3.16969123, grad/param norm = 4.5933e-01, time/batch = 0.0852s	
74/21150 (epoch 0.175), train_loss = 3.15329473, grad/param norm = 5.6156e-01, time/batch = 0.0848s	
75/21150 (epoch 0.177), train_loss = 3.23662385, grad/param norm = 1.1718e+00, time/batch = 0.0844s	
76/21150 (epoch 0.180), train_loss = 3.29400754, grad/param norm = 1.8826e+00, time/batch = 0.0837s	
77/21150 (epoch 0.182), train_loss = 3.23087401, grad/param norm = 6.7438e-01, time/batch = 0.0839s	
78/21150 (epoch 0.184), train_loss = 3.18810678, grad/param norm = 3.6920e-01, time/batch = 0.0833s	
79/21150 (epoch 0.187), train_loss = 3.18883731, grad/param norm = 2.7378e-01, time/batch = 0.0832s	
80/21150 (epoch 0.189), train_loss = 3.13482564, grad/param norm = 2.3691e-01, time/batch = 0.0838s	
81/21150 (epoch 0.191), train_loss = 3.16897633, grad/param norm = 2.4464e-01, time/batch = 0.0841s	
82/21150 (epoch 0.194), train_loss = 3.13724702, grad/param norm = 2.6286e-01, time/batch = 0.0860s	
83/21150 (epoch 0.196), train_loss = 3.16866293, grad/param norm = 2.8423e-01, time/batch = 0.0858s	
84/21150 (epoch 0.199), train_loss = 3.14035063, grad/param norm = 3.0932e-01, time/batch = 0.0861s	
85/21150 (epoch 0.201), train_loss = 3.15370875, grad/param norm = 2.9238e-01, time/batch = 0.0860s	
86/21150 (epoch 0.203), train_loss = 3.12034804, grad/param norm = 2.5558e-01, time/batch = 0.0866s	
87/21150 (epoch 0.206), train_loss = 3.12324981, grad/param norm = 3.1332e-01, time/batch = 0.0839s	
88/21150 (epoch 0.208), train_loss = 3.09635371, grad/param norm = 5.0578e-01, time/batch = 0.0853s	
89/21150 (epoch 0.210), train_loss = 3.20198306, grad/param norm = 9.7783e-01, time/batch = 0.0825s	
90/21150 (epoch 0.213), train_loss = 3.12745177, grad/param norm = 6.3531e-01, time/batch = 0.0844s	
91/21150 (epoch 0.215), train_loss = 3.08401201, grad/param norm = 2.8187e-01, time/batch = 0.0862s	
92/21150 (epoch 0.217), train_loss = 3.07906509, grad/param norm = 3.0042e-01, time/batch = 0.0839s	
93/21150 (epoch 0.220), train_loss = 3.06370141, grad/param norm = 3.8157e-01, time/batch = 0.0853s	
94/21150 (epoch 0.222), train_loss = 3.09509660, grad/param norm = 7.0977e-01, time/batch = 0.0845s	
95/21150 (epoch 0.225), train_loss = 3.16906561, grad/param norm = 8.8934e-01, time/batch = 0.0870s	
96/21150 (epoch 0.227), train_loss = 3.13118794, grad/param norm = 7.9495e-01, time/batch = 0.0869s	
97/21150 (epoch 0.229), train_loss = 3.11309275, grad/param norm = 4.6237e-01, time/batch = 0.0859s	
98/21150 (epoch 0.232), train_loss = 3.06981506, grad/param norm = 2.8794e-01, time/batch = 0.0869s	
99/21150 (epoch 0.234), train_loss = 3.08256035, grad/param norm = 3.5343e-01, time/batch = 0.0860s	
100/21150 (epoch 0.236), train_loss = 3.08929810, grad/param norm = 3.9832e-01, time/batch = 0.0835s	
101/21150 (epoch 0.239), train_loss = 3.07350917, grad/param norm = 5.4291e-01, time/batch = 0.0848s	
102/21150 (epoch 0.241), train_loss = 3.04250033, grad/param norm = 5.8905e-01, time/batch = 0.0856s	
103/21150 (epoch 0.243), train_loss = 3.07861757, grad/param norm = 5.4029e-01, time/batch = 0.0840s	
104/21150 (epoch 0.246), train_loss = 3.03786855, grad/param norm = 4.4786e-01, time/batch = 0.0845s	
105/21150 (epoch 0.248), train_loss = 3.00359094, grad/param norm = 3.7580e-01, time/batch = 0.0869s	
106/21150 (epoch 0.251), train_loss = 3.01267829, grad/param norm = 4.2423e-01, time/batch = 0.0856s	
107/21150 (epoch 0.253), train_loss = 3.02988095, grad/param norm = 5.6728e-01, time/batch = 0.0858s	
108/21150 (epoch 0.255), train_loss = 3.05473885, grad/param norm = 9.3819e-01, time/batch = 0.0872s	
109/21150 (epoch 0.258), train_loss = 3.05949474, grad/param norm = 1.0644e+00, time/batch = 0.0842s	
110/21150 (epoch 0.260), train_loss = 3.07340282, grad/param norm = 1.1657e+00, time/batch = 0.0848s	
111/21150 (epoch 0.262), train_loss = 3.04338938, grad/param norm = 8.0052e-01, time/batch = 0.0899s	
112/21150 (epoch 0.265), train_loss = 3.02100537, grad/param norm = 4.8617e-01, time/batch = 0.0855s	
113/21150 (epoch 0.267), train_loss = 2.99221738, grad/param norm = 3.7105e-01, time/batch = 0.0862s	
114/21150 (epoch 0.270), train_loss = 2.95836567, grad/param norm = 3.3180e-01, time/batch = 0.0868s	
115/21150 (epoch 0.272), train_loss = 2.96849380, grad/param norm = 4.0367e-01, time/batch = 0.0872s	
116/21150 (epoch 0.274), train_loss = 2.98363086, grad/param norm = 5.5811e-01, time/batch = 0.0856s	
117/21150 (epoch 0.277), train_loss = 2.99916169, grad/param norm = 6.2607e-01, time/batch = 0.0838s	
118/21150 (epoch 0.279), train_loss = 2.96988982, grad/param norm = 7.3162e-01, time/batch = 0.0860s	
119/21150 (epoch 0.281), train_loss = 2.93570045, grad/param norm = 7.8355e-01, time/batch = 0.0850s	
120/21150 (epoch 0.284), train_loss = 2.96240063, grad/param norm = 6.7851e-01, time/batch = 0.0844s	
121/21150 (epoch 0.286), train_loss = 2.91993753, grad/param norm = 5.1206e-01, time/batch = 0.0845s	
122/21150 (epoch 0.288), train_loss = 2.90931409, grad/param norm = 5.1869e-01, time/batch = 0.0843s	
123/21150 (epoch 0.291), train_loss = 2.92872132, grad/param norm = 5.6990e-01, time/batch = 0.0854s	
124/21150 (epoch 0.293), train_loss = 2.91430040, grad/param norm = 5.7763e-01, time/batch = 0.0847s	
125/21150 (epoch 0.296), train_loss = 2.90409154, grad/param norm = 6.5126e-01, time/batch = 0.0907s	
126/21150 (epoch 0.298), train_loss = 2.96488767, grad/param norm = 8.2096e-01, time/batch = 0.0878s	
127/21150 (epoch 0.300), train_loss = 2.96211382, grad/param norm = 9.6486e-01, time/batch = 0.0872s	
128/21150 (epoch 0.303), train_loss = 2.91351235, grad/param norm = 7.3818e-01, time/batch = 0.0857s	
129/21150 (epoch 0.305), train_loss = 2.93047585, grad/param norm = 5.7556e-01, time/batch = 0.0863s	
130/21150 (epoch 0.307), train_loss = 2.87193573, grad/param norm = 4.2104e-01, time/batch = 0.0855s	
131/21150 (epoch 0.310), train_loss = 2.89424736, grad/param norm = 3.3254e-01, time/batch = 0.0863s	
132/21150 (epoch 0.312), train_loss = 2.84624187, grad/param norm = 3.2604e-01, time/batch = 0.0862s	
133/21150 (epoch 0.314), train_loss = 2.87342105, grad/param norm = 3.3571e-01, time/batch = 0.0833s	
134/21150 (epoch 0.317), train_loss = 2.85260960, grad/param norm = 6.4203e-01, time/batch = 0.0842s	
135/21150 (epoch 0.319), train_loss = 2.88870515, grad/param norm = 1.2589e+00, time/batch = 0.0829s	
136/21150 (epoch 0.322), train_loss = 2.93767977, grad/param norm = 1.1332e+00, time/batch = 0.0840s	
137/21150 (epoch 0.324), train_loss = 2.88885630, grad/param norm = 6.3676e-01, time/batch = 0.0833s	
138/21150 (epoch 0.326), train_loss = 2.85836369, grad/param norm = 4.0510e-01, time/batch = 0.0877s	
139/21150 (epoch 0.329), train_loss = 2.82714807, grad/param norm = 3.1797e-01, time/batch = 0.0953s	
140/21150 (epoch 0.331), train_loss = 2.86829579, grad/param norm = 3.3730e-01, time/batch = 0.0859s	
141/21150 (epoch 0.333), train_loss = 2.83627486, grad/param norm = 3.6729e-01, time/batch = 0.0881s	
142/21150 (epoch 0.336), train_loss = 2.83013717, grad/param norm = 3.6705e-01, time/batch = 0.0868s	
143/21150 (epoch 0.338), train_loss = 2.78098114, grad/param norm = 4.5670e-01, time/batch = 0.0854s	
144/21150 (epoch 0.340), train_loss = 2.79649662, grad/param norm = 6.3599e-01, time/batch = 0.0859s	
145/21150 (epoch 0.343), train_loss = 2.85297198, grad/param norm = 1.0431e+00, time/batch = 0.0853s	
146/21150 (epoch 0.345), train_loss = 2.87397325, grad/param norm = 1.3311e+00, time/batch = 0.0849s	
147/21150 (epoch 0.348), train_loss = 2.85018128, grad/param norm = 8.5632e-01, time/batch = 0.0850s	
148/21150 (epoch 0.350), train_loss = 2.79675675, grad/param norm = 4.6512e-01, time/batch = 0.0850s	
149/21150 (epoch 0.352), train_loss = 2.83847067, grad/param norm = 3.7565e-01, time/batch = 0.0850s	
150/21150 (epoch 0.355), train_loss = 2.81506407, grad/param norm = 3.9582e-01, time/batch = 0.0857s	
151/21150 (epoch 0.357), train_loss = 2.80647613, grad/param norm = 4.5142e-01, time/batch = 0.0863s	
152/21150 (epoch 0.359), train_loss = 2.81521292, grad/param norm = 5.7941e-01, time/batch = 0.0928s	
153/21150 (epoch 0.362), train_loss = 2.77647613, grad/param norm = 5.6912e-01, time/batch = 0.0923s	
154/21150 (epoch 0.364), train_loss = 2.80625639, grad/param norm = 5.9887e-01, time/batch = 0.0893s	
155/21150 (epoch 0.366), train_loss = 2.75960480, grad/param norm = 4.6095e-01, time/batch = 0.0882s	
156/21150 (epoch 0.369), train_loss = 2.72994312, grad/param norm = 3.9166e-01, time/batch = 0.0887s	
157/21150 (epoch 0.371), train_loss = 2.73855322, grad/param norm = 4.9751e-01, time/batch = 0.0852s	
158/21150 (epoch 0.374), train_loss = 2.78713000, grad/param norm = 7.3258e-01, time/batch = 0.0841s	
159/21150 (epoch 0.376), train_loss = 2.82479681, grad/param norm = 1.3120e+00, time/batch = 0.0842s	
160/21150 (epoch 0.378), train_loss = 2.82749831, grad/param norm = 1.1863e+00, time/batch = 0.0851s	
161/21150 (epoch 0.381), train_loss = 2.77634636, grad/param norm = 6.6681e-01, time/batch = 0.0856s	
162/21150 (epoch 0.383), train_loss = 2.79240454, grad/param norm = 3.7412e-01, time/batch = 0.0826s	
163/21150 (epoch 0.385), train_loss = 2.74075830, grad/param norm = 3.2286e-01, time/batch = 0.0829s	
164/21150 (epoch 0.388), train_loss = 2.72148468, grad/param norm = 2.6728e-01, time/batch = 0.0854s	
165/21150 (epoch 0.390), train_loss = 2.75067394, grad/param norm = 2.6201e-01, time/batch = 0.0843s	
166/21150 (epoch 0.392), train_loss = 2.74724984, grad/param norm = 2.7573e-01, time/batch = 0.0900s	
167/21150 (epoch 0.395), train_loss = 2.70836038, grad/param norm = 2.6071e-01, time/batch = 0.0976s	
168/21150 (epoch 0.397), train_loss = 2.70074952, grad/param norm = 3.4041e-01, time/batch = 0.0932s	
169/21150 (epoch 0.400), train_loss = 2.71022673, grad/param norm = 4.3608e-01, time/batch = 0.0915s	
170/21150 (epoch 0.402), train_loss = 2.74629391, grad/param norm = 6.2313e-01, time/batch = 0.0888s	
171/21150 (epoch 0.404), train_loss = 2.76826749, grad/param norm = 7.8016e-01, time/batch = 0.0865s	
172/21150 (epoch 0.407), train_loss = 2.74588869, grad/param norm = 7.1445e-01, time/batch = 0.0842s	
173/21150 (epoch 0.409), train_loss = 2.71982265, grad/param norm = 7.8718e-01, time/batch = 0.0865s	
174/21150 (epoch 0.411), train_loss = 2.75026348, grad/param norm = 8.1146e-01, time/batch = 0.0852s	
175/21150 (epoch 0.414), train_loss = 2.72152894, grad/param norm = 7.1951e-01, time/batch = 0.0857s	
176/21150 (epoch 0.416), train_loss = 2.77624001, grad/param norm = 5.6589e-01, time/batch = 0.0846s	
177/21150 (epoch 0.418), train_loss = 2.75180000, grad/param norm = 4.3416e-01, time/batch = 0.0853s	
178/21150 (epoch 0.421), train_loss = 2.70733311, grad/param norm = 4.3740e-01, time/batch = 0.0856s	
179/21150 (epoch 0.423), train_loss = 2.71538428, grad/param norm = 4.2035e-01, time/batch = 0.0855s	
180/21150 (epoch 0.426), train_loss = 2.65782489, grad/param norm = 4.5702e-01, time/batch = 0.0869s	
181/21150 (epoch 0.428), train_loss = 2.68266356, grad/param norm = 4.5106e-01, time/batch = 0.0921s	
182/21150 (epoch 0.430), train_loss = 2.75554237, grad/param norm = 4.5861e-01, time/batch = 0.0869s	
183/21150 (epoch 0.433), train_loss = 2.69351727, grad/param norm = 4.9582e-01, time/batch = 0.0885s	
184/21150 (epoch 0.435), train_loss = 2.71539274, grad/param norm = 5.9991e-01, time/batch = 0.0868s	
185/21150 (epoch 0.437), train_loss = 2.65193484, grad/param norm = 7.9605e-01, time/batch = 0.0865s	
186/21150 (epoch 0.440), train_loss = 2.70053648, grad/param norm = 6.4264e-01, time/batch = 0.0863s	
187/21150 (epoch 0.442), train_loss = 2.67043973, grad/param norm = 4.4782e-01, time/batch = 0.0868s	
188/21150 (epoch 0.444), train_loss = 2.68959922, grad/param norm = 4.6974e-01, time/batch = 0.0850s	
189/21150 (epoch 0.447), train_loss = 2.65540162, grad/param norm = 5.5035e-01, time/batch = 0.0864s	
190/21150 (epoch 0.449), train_loss = 2.63035544, grad/param norm = 5.9425e-01, time/batch = 0.0848s	
191/21150 (epoch 0.452), train_loss = 2.67678937, grad/param norm = 7.4975e-01, time/batch = 0.0882s	
192/21150 (epoch 0.454), train_loss = 2.64294221, grad/param norm = 7.9010e-01, time/batch = 0.0852s	
193/21150 (epoch 0.456), train_loss = 2.66747124, grad/param norm = 6.5673e-01, time/batch = 0.0861s	
194/21150 (epoch 0.459), train_loss = 2.63373805, grad/param norm = 4.1962e-01, time/batch = 0.0849s	
195/21150 (epoch 0.461), train_loss = 2.64962492, grad/param norm = 4.0873e-01, time/batch = 0.0875s	
196/21150 (epoch 0.463), train_loss = 2.63804797, grad/param norm = 5.6408e-01, time/batch = 0.0898s	
197/21150 (epoch 0.466), train_loss = 2.65048615, grad/param norm = 7.0903e-01, time/batch = 0.0891s	
198/21150 (epoch 0.468), train_loss = 2.67565397, grad/param norm = 5.6483e-01, time/batch = 0.0855s	
199/21150 (epoch 0.470), train_loss = 2.65959007, grad/param norm = 3.7645e-01, time/batch = 0.0871s	
200/21150 (epoch 0.473), train_loss = 2.62841810, grad/param norm = 3.1744e-01, time/batch = 0.0869s	
201/21150 (epoch 0.475), train_loss = 2.66565444, grad/param norm = 3.4967e-01, time/batch = 0.0863s	
202/21150 (epoch 0.478), train_loss = 2.64336698, grad/param norm = 5.1533e-01, time/batch = 0.0862s	
203/21150 (epoch 0.480), train_loss = 2.65447727, grad/param norm = 8.6467e-01, time/batch = 0.0867s	
204/21150 (epoch 0.482), train_loss = 2.70975914, grad/param norm = 7.7758e-01, time/batch = 0.0870s	
205/21150 (epoch 0.485), train_loss = 2.62698209, grad/param norm = 4.6007e-01, time/batch = 0.0860s	
206/21150 (epoch 0.487), train_loss = 2.63713076, grad/param norm = 3.2498e-01, time/batch = 0.0847s	
207/21150 (epoch 0.489), train_loss = 2.59291892, grad/param norm = 3.3686e-01, time/batch = 0.0861s	
208/21150 (epoch 0.492), train_loss = 2.62392322, grad/param norm = 3.6207e-01, time/batch = 0.0844s	
209/21150 (epoch 0.494), train_loss = 2.67815067, grad/param norm = 4.6939e-01, time/batch = 0.0953s	
210/21150 (epoch 0.496), train_loss = 2.63740822, grad/param norm = 7.8684e-01, time/batch = 0.0902s	
211/21150 (epoch 0.499), train_loss = 2.73175033, grad/param norm = 1.1206e+00, time/batch = 0.0898s	
212/21150 (epoch 0.501), train_loss = 2.67613564, grad/param norm = 6.4983e-01, time/batch = 0.0853s	
213/21150 (epoch 0.504), train_loss = 2.62160986, grad/param norm = 3.5002e-01, time/batch = 0.0878s	
214/21150 (epoch 0.506), train_loss = 2.61989264, grad/param norm = 3.5068e-01, time/batch = 0.0845s	
215/21150 (epoch 0.508), train_loss = 2.58060987, grad/param norm = 4.0286e-01, time/batch = 0.0875s	
216/21150 (epoch 0.511), train_loss = 2.58392333, grad/param norm = 5.0178e-01, time/batch = 0.0885s	
217/21150 (epoch 0.513), train_loss = 2.61806868, grad/param norm = 5.4696e-01, time/batch = 0.0851s	
218/21150 (epoch 0.515), train_loss = 2.58485225, grad/param norm = 4.6277e-01, time/batch = 0.0854s	
219/21150 (epoch 0.518), train_loss = 2.58919254, grad/param norm = 4.4289e-01, time/batch = 0.0872s	
220/21150 (epoch 0.520), train_loss = 2.60593195, grad/param norm = 4.9012e-01, time/batch = 0.0849s	
221/21150 (epoch 0.522), train_loss = 2.57310319, grad/param norm = 5.2659e-01, time/batch = 0.0858s	
222/21150 (epoch 0.525), train_loss = 2.62932843, grad/param norm = 7.6778e-01, time/batch = 0.0894s	
223/21150 (epoch 0.527), train_loss = 2.60645609, grad/param norm = 8.1684e-01, time/batch = 0.0932s	
224/21150 (epoch 0.530), train_loss = 2.58507132, grad/param norm = 5.0143e-01, time/batch = 0.0896s	
225/21150 (epoch 0.532), train_loss = 2.55343240, grad/param norm = 3.1491e-01, time/batch = 0.0915s	
226/21150 (epoch 0.534), train_loss = 2.54604928, grad/param norm = 2.3749e-01, time/batch = 0.0898s	
227/21150 (epoch 0.537), train_loss = 2.62894514, grad/param norm = 2.7666e-01, time/batch = 0.0886s	
228/21150 (epoch 0.539), train_loss = 2.56752877, grad/param norm = 3.4498e-01, time/batch = 0.0849s	
229/21150 (epoch 0.541), train_loss = 2.58305781, grad/param norm = 3.5937e-01, time/batch = 0.0857s	
230/21150 (epoch 0.544), train_loss = 2.53174882, grad/param norm = 3.9591e-01, time/batch = 0.0846s	
231/21150 (epoch 0.546), train_loss = 2.58426229, grad/param norm = 4.7342e-01, time/batch = 0.0855s	
232/21150 (epoch 0.548), train_loss = 2.59099201, grad/param norm = 5.9279e-01, time/batch = 0.0841s	
233/21150 (epoch 0.551), train_loss = 2.57826186, grad/param norm = 7.0279e-01, time/batch = 0.0841s	
234/21150 (epoch 0.553), train_loss = 2.61353743, grad/param norm = 7.0328e-01, time/batch = 0.0843s	
235/21150 (epoch 0.556), train_loss = 2.56102484, grad/param norm = 5.6480e-01, time/batch = 0.0838s	
236/21150 (epoch 0.558), train_loss = 2.58442063, grad/param norm = 4.6977e-01, time/batch = 0.0979s	
237/21150 (epoch 0.560), train_loss = 2.55949002, grad/param norm = 3.9758e-01, time/batch = 0.0938s	
238/21150 (epoch 0.563), train_loss = 2.55899413, grad/param norm = 3.8529e-01, time/batch = 0.0922s	
239/21150 (epoch 0.565), train_loss = 2.52596510, grad/param norm = 3.1168e-01, time/batch = 0.0907s	
240/21150 (epoch 0.567), train_loss = 2.51290277, grad/param norm = 2.8118e-01, time/batch = 0.0904s	
241/21150 (epoch 0.570), train_loss = 2.53383947, grad/param norm = 3.5676e-01, time/batch = 0.0868s	
242/21150 (epoch 0.572), train_loss = 2.57578385, grad/param norm = 3.2314e-01, time/batch = 0.0856s	
243/21150 (epoch 0.574), train_loss = 2.51762118, grad/param norm = 2.4734e-01, time/batch = 0.0850s	
244/21150 (epoch 0.577), train_loss = 2.52903314, grad/param norm = 2.4923e-01, time/batch = 0.0852s	
245/21150 (epoch 0.579), train_loss = 2.51727136, grad/param norm = 3.3253e-01, time/batch = 0.0845s	
246/21150 (epoch 0.582), train_loss = 2.52027499, grad/param norm = 5.0251e-01, time/batch = 0.0852s	
